,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,source_is_th,destination_is_th
185,186,Jun 2018,#324103,Oakwood Worldwide,Government of Singapore Investment Corporation (GIC),"GIC is the sovereign wealth fund of the Government of Singapore. It was founded in 1981 and is based in Singapore. On 23 July 2013, GIC changed its legal name from Government of Singapore Investment Corporation to GIC.",www.gic.com.sg,,0.0,,1981.0,oakwoodamericas@oakwood.com,+18664001925,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Residential building construction,Construction,Construction,1259,Yes,265.7,Yes,New,Announced,"Dean Schreiber, managing director, Asia Pacific, Oakwood Worldwide. ""Cambodia and Vietnam have been rapidly developing with healthy economic growth rates and this is an opportune time for Oakwood to establish itself as we foresee increasing demand for long-term accommodation.""",,,https://www.oakwood.com/press-releases/indochina-on-oakwoods-horizon,False,True,False,real_estate_residential_building_construction_construction,False,False,True,False
186,187,Jun 2018,#306492,Binance,Binance,Binance operates a global crypto-currency exchange platform. The company was established in 2017 and is based in Hong Kong.,www.binance.com,,0.0,,2017.0,market@binance.com,,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Africa,uganda,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,https://thecryptocurrencypost.net/binance-crypto-exchange-opens-a-branch-in-singapore/,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,True,False
201,202,May 2018,#305851,Sakthi Trading Group,Sakthi Trading Group,Sakthi Trading Group is a global leader in Gold and diamond-based commodities from conflict-free zones of the West Africa and East Africa. The firm is based in Hong Kong.,www.sakthitrading.com/,,,,,info@sakthitrading.com,+85235522844,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Africa,democratic_republic_of_congo,Not Specified,Not Specified,Not Specified,,,Metals,Nonferrous metal production & processing,Physical Sciences,Manufacturing,388,Yes,53.0,No,New,Announced,,,,https://www.reuters.com/article/lmeweek-asia-precious/uae-trader-looking-to-expand-into-gold-refining-in-africa-idUSL5N1SM0CI,False,True,False,metals_nonferrous_metal_production_and_processing_manufacturing,False,False,True,False
211,212,May 2018,#306341,Lee & Man Paper Manufacturing,Lee & Man Paper Manufacturing,"Lee & Man Paper Manufacturing, an investment holding company, manufactures and trades paper and pulp in China and Vietnam. It offers various pulp products, such as dissolved pulp for use in viscoce chemical fibre, bamboo fibre, glass paper, acetate fibre and refined rayon; unbleached bamboo kraft pulp for use in ecru life paper, environmental tableware and food bags; and bleached bamboo kraft pulp for use in tissue papers, fine papers, cigarette papers and cup papers. The company was founded in 1994 and is based in Kwun Tong, Hong Kong.",www.leemanpaper.com,4116.43,,,1994.0,,+85223199889,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Bago,Not Specified,Bago,,,"Paper, printing & packaging","Pulp, paper, & paperboard","Wood, Apparel & Related Products",Manufacturing,3000,No,479.0,Yes,New,Announced,,,,http://en.xfafinance.com/html/Companies/2018/360431.shtml,False,True,False,paper_printing_and_packaging_pulp_paper_and_paperboard_manufacturing,False,False,True,False
213,214,May 2018,#306836,De Heus International,De Vierschaar,"The Netherlands-based De Vierschaar is the holding firm for a number of companies. The mutual activities within the group include the provision of goods and property leasing. De Vierschaar is based in Ede Gold, Netherlands.",,1736.9,,,,info@deheus.com,,Western Europe,netherlands,East Netherlands,Gelderland,Ede,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Food & Beverages,Animal food,Agribusiness,Manufacturing,264,Yes,31.8,Yes,New,Opened,"Johan van den Ban, (Myanmar) managing director states that ""for several years, De Heus Myanmar has had a sales warehouse in Mandalay to flexibly supply customers in the region. Based on growing demand, the identified high potential and our company's commitment to our local customers, we decided to invest in this new factory quite soon after opening our first factory back in October 2016. We hope that this new production facility will enable us to support the livestock farmers even better.""",,,https://www.deheus.com/news/overview/de-heus-underlines-growth-in-myanmar-by-opening-second-production-site-956,True,False,False,food_and_beverages_animal_food_manufacturing,False,False,True,False
224,225,Apr 2018,#358706,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Africa,madagascar,Antananarivo province,Not Specified,Antananarivo,,,Business services,Other support services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,"Mr. Jiten Vyas, chief operating officer, VFS Global, said; ""This newly launched centre will effectively cater to meeting the growing demand for travel between residents of Madagascar and China""",,,https://www.vfsglobal.com/en/PDF/media-releases/2018/Madagascar.pdf,True,False,False,business_services_other_support_services_business_services,False,False,True,False
226,227,Apr 2018,#303893,Auston Institute of Management,Auston Institute of Management,Auston Institute of Management is a Singapore-headquartered education company focused on engineering and project management titles. The company was founded in 1996.,www.auston.edu.lk,,,,1996.0,ask@auston.edu.sg,+6563345900,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Opened,,,"Myanmar Strategic Holdings, Auston Institute of Management",https://www.mmtimes.com/news/myanmar-strategic-holdings-jv-operate-yangon-private-school.html,False,True,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,True,False
230,231,Apr 2018,#303948,Myanmar Strategic Holdings,Macan,"Macan participates in all stages of ventures in a range of markets and sectors. The company forms deep partnerships with entrepreneurs to build their firms by committing its time, network and resources. Macan was founded in 2012 and headquartered in Singapore.",www.macan.com.sg,,,,2012.0,,+6586223877,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Announced,"Enrico Cesenni, founder, ""The Board continues to seek new opportunities in this exciting market and is confident in its ability to identify areas of rapid growth.""",,,http://www.4-traders.com/news/Myanmar-Strategic-Opening-of-third-Wall-Street-English-centre--26320093/,False,True,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,True,False
233,234,Apr 2018,#302392,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,senegal,Not Specified,Not Specified,Not Specified,,,Building materials,Cement & concrete products,Construction,Manufacturing,462,Yes,139.2,Yes,Co-Location,Announced,"Ivo Schaedler, regional manager of Europe, Middle East and Africa said: ""Senegal is one of the fastest growing west African countries, and we are gaining an early foothold in these growth markets.""",,,https://www.sika.com/en/group/Media/Mediareleases/2018/FactoryinSenegalstartsoperation.html,True,False,False,building_materials_cement_and_concrete_products_manufacturing,False,False,True,False
239,240,Apr 2018,#303897,Auston Institute of Management,Auston Institute of Management,Auston Institute of Management is a Singapore-headquartered education company focused on engineering and project management titles. The company was founded in 1996.,www.auston.edu.lk,,,,1996.0,ask@auston.edu.sg,+6563345900,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Announced,,,"Myanmar Strategic Holdings, Auston Institute of Management",https://www.mmtimes.com/news/myanmar-strategic-holdings-jv-operate-yangon-private-school.html,False,True,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,True,False
242,243,Apr 2018,#302057,Rosewood Hotels & Resorts,New World Development,"New World Development, an investment holding company, invests in, develops, and manages properties in Hong Kong, China, and internationally. Its property portfolio comprises residential estates, office buildings, shopping centres, convention centres, hotels, service apartments, and convention centres. The company is also involved in contracting activities; provision of property and facility management, transport, and other services. Further, the company is engaged in general trading, construction and civil engineering, building construction, consumer products retail, estate agency, marketing and promotion, property agency management and consultancy, liquor and tobacco sale, carpark management, piling and ground investigation, land development, bond issuing, and financing activities, as well as in foundation works. The company was founded in 1970 and is based in Central, Hong Kong.",www.nwd.com.hk,7611.0,45000.0,,1970.0,,,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,laos,Luang Prabang,Not Specified,Luang Prabang,,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Opened,,,,https://www.rosewoodhotels.com/en/media/press/2018/Rosewood-Luang-Prabang-Opens-Today,False,True,False,hotels_and_tourism_accommodation_construction,False,False,True,False
244,245,Apr 2018,#302276,SGG Motor Services,Yoma Strategic,"Yoma Strategic Holdings, an investment holding company, engages in real estate, agriculture, automotive, and luxury tourism businesses in Myanmar. The company develops gated community, residential, retail mall, serviced apartments, office towers, and landmark development projects. It is also involved in constructing residential units; rental of properties; property development and management, and design and architectural services; and advertising services, as well as operates quick services restaurants. Yoma Strategic was incorporated in 1962 and is headquartered in Singapore.",www.yomastrategic.com,79.3,,,,,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Non-automotive transport OEM,"Motorcycle, bicycle, & parts",Transport Equipment,Maintenance & Servicing,154,Yes,99.4,Yes,New,Opened,"Michael Rudenmark, head, automotive, yoma strategic,"" With our excellent range of products and early market entry we have a great opportunity to capture a large share of a motorcycle leisure market that is constantly growing in Myanmar.""",,,http://www.mizzima.com/business-domestic/myanmar%E2%80%99s-first-ducati-motorcycle-showroom-and-service-centre-opens-mandalay,False,True,False,non_automotive_transport_oem_motorcycle_bicycle_and_parts_maintenance_and_servicing,False,False,True,False
255,256,Mar 2018,#299778,Tanzania Breweries Limited (TBL),Anheuser-Busch InBev (AB InBev),"Anheuser-Busch InBev, also known as Ab InBev, is a brewing company. It engages in the production, marketing, and distribution of beer in Latin America, North America, Europe and Asia-Pacific. It offers a portfolio of approximately 200 beer brands. The company's global brands include Budweiser, Stella Artois, and Beck's; multi-country brands consist of Leffe and Hoegaarden; and local brands comprise Bud Light, Michelob, Skol, Brahma, Antarctica, Quilmes, Jupiler, Hasseroder, Klinskoye, Sibirskaya Korona, Chernigivske, Harbin and Sedrin. Established in 1366, the company is headquartered in Leuven, Belgium.",www.ab-inbev.com,54300.0,169340.0,,1366.0,,+255764702905,Western Europe,belgium,Flemish Region (Flanders),Flemish Brabant,Leuven,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,437,Yes,100.0,No,New,Announced,,,,https://www.beveragedaily.com/Article/2018/03/21/AB-InBev-to-open-100m-brewery-in-Tanzania,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
271,272,Mar 2018,#302127,Green Leader Holdings Group,Green Leader Holdings Group,"Green Leader Holdings Group Limited, an investment holding company, engages in the distribution of information technology products in Hong Kong and the People's Republic of China. It operates through Systems Integration Services and Software Solutions, Mining Operation, Coal Operation, and Cassava Starch Operation segments. The Systems Integration Services and Software Solutions segment provides information technology products, systems integration, technology, software development, Internet, software solution engineering, and maintenance services. The Mining Operation segment engages in the exploration and development of coal deposits, and sale of coking coal, as well as the provision of geological survey services. The Coal Operation segment provides coal trading and logistics services. The Cassava Starch Operation segment engages in cultivation, processing, and sale of cassava starch. The company also engages in energy development and equipment trading activities; and sale of equipment and services. Green Leader Holdings Group Limited has a strategic cooperation framework agreement with Guangxi State Farms Mingyang Biochemical Group, Inc. for the mutual development of cassava industry project in Cambodia. The company was formerly known as North Asia Resources Holdings Limited changed its name to Green Leader Holdings Group Limited in September 2017. Green Leader Holdings Group Limited was founded in 1993 and is headquartered in Central, Hong Kong.",www.greenleader.hk,66.36,891.0,,1993.0,info@greenleader.hk,+85228896289,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Stung Treng,Not Specified,Not Specified,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,264,Yes,36.0,Yes,New,Announced,,China,,https://www.khmertimeskh.com/50114123/green-leaders-factory-to-break-ground-next-month/,False,True,False,food_and_beverages_crop_production_manufacturing,True,False,True,False
272,273,Mar 2018,#302128,Green Leader Holdings Group,Green Leader Holdings Group,"Green Leader Holdings Group Limited, an investment holding company, engages in the distribution of information technology products in Hong Kong and the People's Republic of China. It operates through Systems Integration Services and Software Solutions, Mining Operation, Coal Operation, and Cassava Starch Operation segments. The Systems Integration Services and Software Solutions segment provides information technology products, systems integration, technology, software development, Internet, software solution engineering, and maintenance services. The Mining Operation segment engages in the exploration and development of coal deposits, and sale of coking coal, as well as the provision of geological survey services. The Coal Operation segment provides coal trading and logistics services. The Cassava Starch Operation segment engages in cultivation, processing, and sale of cassava starch. The company also engages in energy development and equipment trading activities; and sale of equipment and services. Green Leader Holdings Group Limited has a strategic cooperation framework agreement with Guangxi State Farms Mingyang Biochemical Group, Inc. for the mutual development of cassava industry project in Cambodia. The company was formerly known as North Asia Resources Holdings Limited changed its name to Green Leader Holdings Group Limited in September 2017. Green Leader Holdings Group Limited was founded in 1993 and is headquartered in Central, Hong Kong.",www.greenleader.hk,66.36,891.0,,1993.0,info@greenleader.hk,+85228896289,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Tbong Khmum,Not Specified,Not Specified,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,264,Yes,36.0,Yes,New,Announced,,China,,https://www.khmertimeskh.com/50114123/green-leaders-factory-to-break-ground-next-month/,False,True,False,food_and_beverages_crop_production_manufacturing,True,False,True,False
273,274,Mar 2018,#302130,Green Leader Holdings Group,Green Leader Holdings Group,"Green Leader Holdings Group Limited, an investment holding company, engages in the distribution of information technology products in Hong Kong and the People's Republic of China. It operates through Systems Integration Services and Software Solutions, Mining Operation, Coal Operation, and Cassava Starch Operation segments. The Systems Integration Services and Software Solutions segment provides information technology products, systems integration, technology, software development, Internet, software solution engineering, and maintenance services. The Mining Operation segment engages in the exploration and development of coal deposits, and sale of coking coal, as well as the provision of geological survey services. The Coal Operation segment provides coal trading and logistics services. The Cassava Starch Operation segment engages in cultivation, processing, and sale of cassava starch. The company also engages in energy development and equipment trading activities; and sale of equipment and services. Green Leader Holdings Group Limited has a strategic cooperation framework agreement with Guangxi State Farms Mingyang Biochemical Group, Inc. for the mutual development of cassava industry project in Cambodia. The company was formerly known as North Asia Resources Holdings Limited changed its name to Green Leader Holdings Group Limited in September 2017. Green Leader Holdings Group Limited was founded in 1993 and is headquartered in Central, Hong Kong.",www.greenleader.hk,66.36,891.0,,1993.0,info@greenleader.hk,+85228896289,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Pursat,Not Specified,Not Specified,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,264,Yes,36.0,Yes,New,Announced,,China,,https://www.phnompenhpost.com/business/chinese-firm-breaks-ground-kratie-cassava-factory,False,True,False,food_and_beverages_crop_production_manufacturing,True,False,True,False
289,290,Mar 2018,#302122,Green Leader Holdings Group,Green Leader Holdings Group,"Green Leader Holdings Group Limited, an investment holding company, engages in the distribution of information technology products in Hong Kong and the People's Republic of China. It operates through Systems Integration Services and Software Solutions, Mining Operation, Coal Operation, and Cassava Starch Operation segments. The Systems Integration Services and Software Solutions segment provides information technology products, systems integration, technology, software development, Internet, software solution engineering, and maintenance services. The Mining Operation segment engages in the exploration and development of coal deposits, and sale of coking coal, as well as the provision of geological survey services. The Coal Operation segment provides coal trading and logistics services. The Cassava Starch Operation segment engages in cultivation, processing, and sale of cassava starch. The company also engages in energy development and equipment trading activities; and sale of equipment and services. Green Leader Holdings Group Limited has a strategic cooperation framework agreement with Guangxi State Farms Mingyang Biochemical Group, Inc. for the mutual development of cassava industry project in Cambodia. The company was formerly known as North Asia Resources Holdings Limited changed its name to Green Leader Holdings Group Limited in September 2017. Green Leader Holdings Group Limited was founded in 1993 and is headquartered in Central, Hong Kong.",www.greenleader.hk,66.36,891.0,,1993.0,info@greenleader.hk,+85228896289,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Kratie,Not Specified,Snuol,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,63,Yes,20.0,No,New,Opened,,China,,https://www.khmertimeskh.com/50590868/green-leaders-cassava-factory-to-start-production-in-may/,False,True,False,food_and_beverages_crop_production_manufacturing,True,False,True,False
303,304,Feb 2018,#299805,Heineken,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,24460.0,0.0,,1952.0,,+31205239239,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Africa,rwanda,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,255,Yes,47.7,Yes,New,Announced,,,,http://www.farodevigo.es/economia/2018/02/25/firma-mos-globaliza-heineken/1844090.html,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
320,321,Feb 2018,#299722,Trouw Nutrition,SHV Holdings,"SHV Holdings engages in energy distribution and marketing, cash and carry wholesale, industrial services, and heavy lifting and transport businesses worldwide. The company supplies liquefied petroleum gas under the Primagaz, Calor Gas, Liquigas, Super Gas, Ipragaz, Supergasbras, Xiweigas, and Gaspol brand names; distributes liquefied natural gas and renewable energy; and invests in renewable energy solutions and LPG technology, such as micro combined heat and power, and fuel cells. It also invests in joint ventures that are involved in oil and gas exploration, development, and production activities primarily in the Netherlands and the United Kingdom. In addition, the company engages in cash and carry wholesale with 161 Makro stores in South America, which sells food and non-food products to small and medium-sized retailers, hospitality industry, and the institutional market; and provides heavy lifting and transport solutions in the petrochemical, power, offshore, marine, and civil engineering sectors. SHV Holdings was founded in 1896 and is based in Utrecht, the Netherlands.",www.shv.nl,19490.65,51600.0,,1896.0,,+310334226100,Western Europe,netherlands,West Netherlands,Utrecht,Utrecht,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Food & Beverages,Animal food,Agribusiness,Manufacturing,15,No,4.7,Yes,New,Opened,,ASEAN,,https://www.mmtimes.com/news/dutch-animal-nutrition-firm-starts-manufacturing-thilawa.html,True,False,False,food_and_beverages_animal_food_manufacturing,False,False,True,False
321,322,Feb 2018,#298482,Nestle,Nestle,"Nestle provides nutrition, health, and wellness products worldwide. Its brands include Nestle Health Science, Nestle Nespresso, Nestle Purina Petcare and Nestle Waters. The company was founded in 1866 and is based in Vevey, Switzerland.",www.nestle.com,92196.44,0.0,1747.71,1866.0,,+41219241111,Western Europe,switzerland,Switzerland,Vaud,Vevey,Asia-Pacific,afghanistan,Kabul,Not Specified,Kabul,,,Food & Beverages,Other (Food & Beverages),Agribusiness,Headquarters,127,Yes,61.9,Yes,New,Opened,"Ali Sadozai, president, (Afghanistan) ""Our decision to operate directly and invest locally indicates our growing confidence in the region's economic opportunities.""",,,http://www.bakhtarnews.com.af/eng/business/item/31989-nestl%C3%A9-to-start-direct-operations-in-afghanistan.html,True,False,False,food_and_beverages_other_food_and_beverages_headquarters,False,False,True,False
324,325,Feb 2018,#322147,Seedstars,Seedstars,"Seedstars is a venture capital firm and accelerator specialising in startups and early-stage investments. The company was founded in 2012 and is based in Carouge, Switzerland.",www.seedstars.com/,,,,2012.0,,,Western Europe,switzerland,Switzerland,Geneve,Carouge,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Business services,Other support services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,http://ventureburn.com/2018/05/seedstars-may-expand-co-working-offering-seedspace-in-nigeria/,True,False,False,business_services_other_support_services_business_services,False,False,True,False
329,330,Jan 2018,#294004,Wah Sun Hand-Bags,Wah Sun Hand-Bags,"Wah Sun Hand-Bag Factory Co. Limited was founded in 1985 and is based in Hong Kong. The Company's line of business includes the wholesale distribution of women's, children's, and infants' clothing and accessories.",www.wahsun.com.hk/,,,,1985.0,,+185226011032,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Textiles,Other leather & allied products,"Wood, Apparel & Related Products",Manufacturing,1219,Yes,51.0,Yes,Expansion,Announced,"Ma Qingming Chief executive officer, the company plans to further expand its production facilities in Cambodia, mainly due to lower labor wage there than Mainland China.",,,http://www.aastocks.com/en/stocks/news/aafn-content/NOW.848787/popular-news,False,True,False,textiles_other_leather_and_allied_products_manufacturing,False,False,True,False
344,345,Jan 2018,#293439,Lucky Chain Limited Company,Lucky Chain Limited Company,Lucky Chain Limited Company engages in renewable energy projects. The company is headquartered in Hong Kong.,,,,,,,,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Renewable energy,Other electric power generation (Renewable Energy),Environmental Technology,Electricity,44,Yes,167.8,Yes,New,Announced,"""Ethiopia is really a very exciting and dynamic country and we believe that Ethiopia is probably going to be one of the major players in the African market"", said chairman Chang Tat Joel.",,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/585-company-to-invest-about-2-bn-usd-in-renewable-energy-in-ethiopia.html,False,True,False,renewable_energy_other_electric_power_generation_renewable_energy_electricity,False,False,True,False
352,353,Jan 2018,#294051,Luk Fook Holdings,Luk Fook Holdings,"Luk Fook Holdings, an investment holding company, is engaged in sourcing, designing, wholesaling, trademark licensing, and retailing of various gold and platinum jewellery, gold ornaments, and gem-set jewellery. The company is involved in gold bullion trading; wholesaling polished diamonds; property holding; and the provision of quality examination services, as well as the authentication of gemstones. In addition, it provides software development and Internet-related services. Luk Fook Holdings was founded in 1991 and is headquartered in Jordan, Hong Kong.",www.lukfook.com.hk,1873.78,7500.0,,1991.0,group@lukfook.com,+85223081218,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Consumer products,Jewellery & silverware,Retail Trade,Retail,83,Yes,26.4,Yes,New,Opened,,,,http://www.irasia.com/listco/hk/lukfook/press/p180110.pdf,False,True,False,consumer_products_jewellery_and_silverware_retail,False,False,True,False
365,366,Jan 2018,#358688,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,Other support services,Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,https://www.vfsglobal.com/en/PDF/media-releases/2018/Netherlands-Myanmar.pdf,True,False,False,business_services_other_support_services_business_services,False,False,True,False
368,369,Dec 2017,#292282,Golden Myanmar Business Exchange  (GMBX),Good Resources Holdings,"Good Resources Holdings, an investment holding company, provides financial services in Hong Kong and China. The company is also involved in the equity investment and acquisition of company businesses. In addition, it provides telecommunication and management services. It was formerly known as Good Fellow Resources Holdings and changed its name in June 2015. The company is headquartered in Hong Kong.",www.hkex109.hk,,,,,open@gmbx.asia,+85225878368,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Communications,"Data processing, hosting, & related services",ICT & Electronics,ICT & Internet Infrastructure,2,Yes,5.0,No,New,Announced,,,,https://www.dealstreetasia.com/stories/myanmar-digest-gmbx-to-invest-5m-in-second-data-center-maybank-extends-900k-debt-to-hayman-87208/,False,True,False,communications_data_processing_hosting_and_related_services_ict_and_internet_infrastructure,False,False,True,False
381,382,Dec 2017,#296660,SolarHome,SolarHome,"SolarHome Pte. Ltd. leases solar energy units for rural off-grid households in Southeast Asia. It installs integrated solar energy and appliance units in customers' homes, and offers 'rent-to-own' plans of energy service subscription. The company uses the microfinance structure, Pay-As-You-Go (PAYG), which enables users to pay a monthly fees comparable to their current expenditure on legacy energy sources. The company was founded in 2016 and is based in Singapore. The company also has operations in the Philippines, Cambodia, Myanmar, and Indonesia.",solar-home.asia/en,,,,2016.0,hq@solar-home.asia,+6568372871,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,"Sales, Marketing & Support",300,No,5.0,No,Expansion,Announced,,,,https://consult-myanmar.com/2018/01/06/solarhome-to-invest-5m-more-in-myanmar/,False,True,False,renewable_energy_solar_electric_power_sales_marketing_and_support,False,False,True,False
385,386,Dec 2017,#292801,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Chemicals,"Paints, coatings, additives & adhesives",Construction,"Sales, Marketing & Support",17,Yes,2.8,Yes,New,Opened,"The new local head office in Dhaka, enables Sika to benefit from the potential available in the local construction market, which has a total volume equivalent to SFr15bn and an annual growth rate of 12%.",,,https://www.sika.com/en/group/Media/Mediareleases/2017/sika_opens_100th_national_subisidiary_in_bangladesh.html,True,False,False,chemicals_paints_coatings_additives_and_adhesives_sales_marketing_and_support,False,False,True,False
395,396,Dec 2017,#293133,Myanmar Strategic Holdings,Macan,"Macan participates in all stages of ventures in a range of markets and sectors. The company forms deep partnerships with entrepreneurs to build their firms by committing its time, network and resources. Macan was founded in 2012 and headquartered in Singapore.",www.macan.com.sg,,,,2012.0,,+6586223877,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Opened,"Enrico Cesenni. chief executive officer, states: ""Myanmar is currently ranked as one of the top countries in this global network in terms of student progress, and we aim to continue to build upon this by offering an unrivalled quality of education.""",,,http://www.morningstar.co.uk/uk/news/AN_1512997824090495300/myanmar-strategic-holdings-opens-2nd-wall-street-english-centre.aspx,False,True,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,True,False
