#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
525,2017-06-01,#279837,Saigon - Hanoi Commercial Joint Stock Bank,Saigon - Hanoi Commercial Joint Stock Bank,"Saigon - Hanoi Commercial Joint Stock Bank provides various banking products and services to organizations and individuals in Vietnam. The company offers short, medium, and long term deposits; loans and advances; foreign exchange transactions; international trade finance services; and discount of commercial papers, bonds, and other valuable papers. It also provides factoring; safe box keeping, including gold keeping and safe box keeping services; settlement and other services; insurance agency services; and credits in the form of discounting of negotiable instruments and other valuable papers. The company was formerly known as Nhon Ai Rural Commercial Joint Stock Bank and changed its name to Saigon - Hanoi Commercial Joint Stock Bank in September 2006. Saigon - Hanoi Commercial Joint Stock Bank was founded in 1993 and is headquartered in Hanoi, Vietnam.",www.shb.com.vn,704.81,6351.0,,1993.0,,+84439423388,Asia-Pacific,vietnam,Ha Noi,Not Specified,Ha Noi,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,,,,,False,True,False,financial_services_retail_banking_business_services,False,False,2017
529,2017-06-01,#280484,National Healthcare Systems,Bangkok Dusit Medical Services (BGH),"Bangkok Dusit Medical Services engages in the hospital business in Thailand and internationally. The company owns and manages six hospital groups, including Bangkok Hospital Group, Samitivej Group, BNH Hospital, Phyathai Hospital Group, Paolo Memorial Hospital Group, and the Royal Hospital Group. It offers medical services in the areas of allergy and asthma, anesthesiology, anti-ageing, sports and exercise medicine, aviation medicine, bone and joint, dental, trauma and emergency, mental health rehabilitation and recovery, neurology, and spine. It was founded in 1969 and is based in Bangkok, Thailand.",www.bangkokhospital.com,1995.8,5788.0,,1969.0,,+6627624000,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Healthcare,Outpatient care centres & medical & diagnostic laboratories,Life sciences,Research & Development,79,Yes,7.6,Yes,New,Announced,,,,,False,True,True,healthcare_outpatient_care_centres_and_medical_and_diagnostic_laboratories_research_and_development,False,False,2017
530,2017-06-01,#297090,Bok Seng Logistics,Bok Seng Logistics,Bok Seng Logistics is a provider of total logistics services including integrated logistics management and project logistics management. The company was founded in 1975 and is based in Singapore.,www.bokseng-ipl.com,,,,1975.0,info@bokseng-ipl.com,+6564161999,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Myanmar,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Announced,,,"Bok Seng Logistics, Ayeyar Hinthar Group",https://www.charltonsmyanmar.com/ifc-assisting-ysx-listed-firms-implement-enhanced-information-disclosure/,False,True,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
533,2017-06-01,#279671,CEVA Logistics,CEVA Group,"CEVA Group, a supply chain company, provides contract logistics and freight management services. The company offers supply chain design and implementation services for large and medium-size national and multinational companies worldwide. Its contract logistics services include inbound logistics, manufacturing support, outbound/distribution, and aftermarket logistics; and freight management services comprise air, ocean, and land-based transport, as well as other freight transportation related services. CEVA Group was founded in 1946 and is based in Ashby de la Zouch, UK.",,6646.0,41000.0,,1946.0,,+31235683300,Western Europe,united_kingdom,East Midlands (UK),Leicestershire,Ashby de la Zouch,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,"""Myanmar is a country with real opportunities for growth. It has a population of some 55 million people who are looking to companies like CEVA to provide supply chain services to support their developing business and meet their requirements."" - Bruno Plantaz, managing director (Mekong Cluster), CEVA Logistics.",,,,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,True,2017
536,2017-06-01,#278669,NTT Communications (NTT Com),Nippon Telegraph & Telephone (NTT),"Nippon Telegraph and Telephone (NTT), together with its subsidiaries, provides various telecommunications services. It operates through segments including regional communications, and long-distance and international communications. The company also provides financial services, such as issuing leases and credit cards. It was established in 1952 and is headquartered in Tokyo, Japan.",group.ntt/en/,92258.34,0.0,1685.46,1952.0,,+81335008111,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Communications,"Data processing, hosting, & related services",ICT & Electronics,ICT & Internet Infrastructure,120,Yes,66.8,Yes,New,Opened,"Mr. Masatoshi Tsuboi, NTT Communications (Thailand)'s vice-president said, ""Myanmar's economic growth is benefiting from growing numbers of international Joint Ventures and foreign direct investment (FDI). Now is the right time to launch our data centre services in Yangon to support their business strongly with our expertise.""",,,,True,False,False,communications_data_processing_hosting_and_related_services_ict_and_internet_infrastructure,False,False,2017
538,2017-06-01,#278874,Ishiguro,Ishiguro,"Ishiguro engages in the import and distribution of valves, piping, and fitting. The company was founded in 1939 and is based in Tokyo, Japan.",www.ishiguro-gr.co.jp,428.79,730.0,,1939.0,,+81335522161,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Industrial equipment,General purpose machinery,Industrial,"Sales, Marketing & Support",15,Yes,3.6,Yes,New,Opened,,,,,True,False,False,industrial_equipment_general_purpose_machinery_sales_marketing_and_support,False,False,2017
541,2017-06-01,#280482,National Healthcare Systems,Bangkok Dusit Medical Services (BGH),"Bangkok Dusit Medical Services engages in the hospital business in Thailand and internationally. The company owns and manages six hospital groups, including Bangkok Hospital Group, Samitivej Group, BNH Hospital, Phyathai Hospital Group, Paolo Memorial Hospital Group, and the Royal Hospital Group. It offers medical services in the areas of allergy and asthma, anesthesiology, anti-ageing, sports and exercise medicine, aviation medicine, bone and joint, dental, trauma and emergency, mental health rehabilitation and recovery, neurology, and spine. It was founded in 1969 and is based in Bangkok, Thailand.",www.bangkokhospital.com,1995.8,5788.0,,1969.0,,+6627624000,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Healthcare,Outpatient care centres & medical & diagnostic laboratories,Life sciences,Research & Development,13,Yes,2.5,No,New,Opened,,,"National Healthcare Systems, Bahosi Hospital , Sea Lion Group",,False,True,True,healthcare_outpatient_care_centres_and_medical_and_diagnostic_laboratories_research_and_development,False,False,2017
543,2017-06-01,#295822,FBS Markets,FBS Markets,FBS Markets is a Belize-registered Forex broker which was founded in 2009. It is headquartered in Belmopan and focuses mostly on clients in Asia.,www.fbs.com,,,,2009.0,support@fbs.com,,Latin America & Caribbean,belize,Cayo District,Not Specified,Belmopan,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://fbs.com/news/fbs-new-office-19-06-2017-1361,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
545,2017-06-01,#298065,"Institute of Marine Engineering, Science and Technology","Institute of Marine Engineering, Science and Technology","Institute of Marine Engineering, Science and Technology is the international membership body and learned society for professionals operating in the spheres of marine engineering, science, or technology. It has a worldwide membership of 15,000 individuals based in more than 100 countries. IMarEST is also a publisher of books, periodicals, magazines, journals and papers related to marine engineering, science and technology, and organises meetings, events and conferences related to these themes. It was founded in 1889 and is headquartered in London, UK.",www.imarest.org,5.23,,,1889.0,info@imarest.org,+442073822600,Western Europe,united_kingdom,South East (UK),Greater London,London,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Professional, scientific & technical services",Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,http://shipmanagementinternational.com/imarest-launches-new-myanmar-branch/,True,False,False,business_services_professional_scientific_and_technical_services_business_services,False,True,2017
551,2017-05-01,#277197,Tigers,La Poste,"La Poste provides courier services. The company was established in 1879 and is based in Paris, France.",www.laposte.fr,37084.24,0.0,,1879.0,contact_hkg@go2tigers.com,+85222155500,Western Europe,france,Ile-de-France,Paris,Paris,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Announced,"""With consistent developments and an annual GDP growth of 7.5%, Myanmar is the country to watch in the south-east Asia region,"" said RS Baskkaran, managing director, Tigers Malaysia and south-east Asia.""Myanmar has tremendous growth potential and fits in with our strategy of focusing on emerging markets."" said Andrew Jillings, chief executive officer, Tigers.",,,,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
555,2017-05-01,#277205,Hugo Boss,Hugo Boss,"Hugo Boss is a luxury fashion retailer. The company was established in 1924 and is based in Metzingen, Germany.",www.hugo-boss.com,2326.77,0.0,,1924.0,info@hugoboss.com,+497123940,Western Europe,germany,Baden-Wurttemberg,Tubingen,Metzingen,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Textiles,Clothing & clothing accessories,Retail Trade,Retail,25,Yes,6.5,Yes,New,Opened,,,,,True,False,False,textiles_clothing_and_clothing_accessories_retail,False,False,2017
557,2017-05-01,#277196,Tigers,La Poste,"La Poste provides courier services. The company was established in 1879 and is based in Paris, France.",www.laposte.fr,37084.24,0.0,,1879.0,contact_hkg@go2tigers.com,+85222155500,Western Europe,france,Ile-de-France,Paris,Paris,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,"""With consistent developments and an annual GDP growth of 7.5%, Myanmar is the country to watch in the south-east Asia region,"" said RS Baskkaran, managing director, Tigers Malaysia and south-east Asia.""Myanmar has tremendous growth potential and fits in with our strategy of focusing on emerging markets."" - Andrew Jillings, chief executive officer, Tigers.",,,,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
558,2017-05-01,#278802,Nittsu Logistics Myanmar,Nippon Express,"Nippon Express, through its subsidiaries, provides logistics services. The company was founded in 1872 and is headquartered in Tokyo, Japan.",www.nittsu.co.jp,1961.0,73549.0,,1872.0,,,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Opened,,,,,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
559,2017-05-01,#278565,Dentons,Dentons,"Dentons is a multinational law firm. It was founded in March, 2013, by the merger of SNR Denton, Fraser Milner Casgrain and Salans. It has 80 offices across 52 countries and is one of the world's 10 largest law firms by number of lawyers, with approximately 2600 lawyers and professionals. Dentons is headquartered in London, UK.",www.dentons.com,2003.0,20000.0,,2013.0,,+442072421212,Western Europe,united_kingdom,South East (UK),Greater London,London,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,Legal services,Professional Services,Business Services,5,No,0.8,Yes,New,Opened,"""The economic development and democratization of Myanmar has opened up a wealth of both inbound and outbound opportunities for our clients, from within Asia and around the world,"" said Joe Andrew, global chairman of Dentons. ""Myanmar is an important developing market in the heart of one of the world's most exciting regions. The provision of high quality, reliable legal services are crucial to the successful functioning of any emerging economy, and I am delighted that Dentons will now have a presence in Myanmar and can contribute to the continued economic development.""",,,,True,False,False,business_services_legal_services_business_services,False,True,2017
563,2017-05-01,#297106,F&N Investments,Fraser & Neave (Fraser and Neave),"Fraser and Neave, through its subsidiaries, operates in the food and beverage, property, publishing and printing industries. Additionally, it offers treasury and financial services, asset management, fund and property management and consultancy services. Fraser and Neave was founded in 1883 and is based in Singapore.",www.fraserandneave.com,1379.93,7700.0,,1883.0,,+6563189393,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://www.fraserandneave.com/docs/default-source/newsroom/2017/quarter-2/5may17-incorporation-fn-myanmar-services-limited.pdf?sfvrsn=4,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
573,2017-04-01,#275973,cargo-partner,cargo-partner,"cargo-partner provides logistics services, including air and sea solutions. The company was founded in 1983 and is based in Fischamend, Austria.",www.cargo-partner.com,1759.64,0.0,,1983.0,atfis@cargo-partner.com,+43598880,Western Europe,austria,Eastern Austria,Lower Austria,Fischamend,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
579,2017-04-01,#297115,Soilbuild Group,Soilbuild Group,"Soilbuild Group engages in constructing, developing, and managing residential and business space properties. The company focuses on designing, building, and leasing/selling real estate products. Soilbuild Group was founded in 1976 and is headquartered in Singapore.",www.soilbuild.com,,,,1976.0,enquiries@soilbuild.com,+6565422882,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Real estate,Commercial & institutional building construction,Construction,"Sales, Marketing & Support",75,Yes,20.5,Yes,New,Opened,,,,http://www.soilbuildconstruction.com/Announcements/Incorporation-of-a-WhollyOwned-Subsidiary-in-Myanmar-270,False,True,False,real_estate_commercial_and_institutional_building_construction_sales_marketing_and_support,False,False,2017
585,2017-03-01,#273836,Koryo Cable,Koryo Cable,"Koryo Cable designs, manufactures, and markets cable products. It offers copper, power transmission, insulated, and telephone wires, as well as fire service, power, and control cables. The company was founded in 1964 and is based in Daegu, South Korea.",www.koryocable.co.kr,,,,1964.0,,+82535675001,Asia-Pacific,south_korea,Daegu,Not Specified,Daegu,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Electronic components,Communication & energy wires & cables,ICT & Electronics,Manufacturing,59,Yes,8.2,No,New,Announced,,,,,False,True,False,electronic_components_communication_and_energy_wires_and_cables_manufacturing,False,False,2017
589,2017-03-01,#275005,Sahadharawat Company,Sahadharawat Company,"Sahadharawat Company is a metal packaging firm. Its products include aerosol cans, general cans, snack and confectionery, steel drum/pail, rectangular cans, general round cans, EOE-steel and aluminium, 3 piece cans and 18 litre square cans. It was founded in 1948 and is based in Samut Prakan, Thailand.",www.sahadharawat.com,,,,1948.0,,+6627256888,Asia-Pacific,thailand,Central,Not Specified,Samut Prakan,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Metals,Other fabricated metal products,Industrial,Manufacturing,17,Yes,5.1,No,New,Announced,,,,,False,True,True,metals_other_fabricated_metal_products_manufacturing,False,False,2017
602,2017-03-01,#274612,Diesel,OTB Group (Only The Brave),"OTB Group is the holding company of fashion brands such as Diesel, Maison Martin Margiela, Marni, Viktor & Rolf, and companies such as Staff International, specialised in ready-to-wear production and distribution and Brave Kid, specialised in childrenswear production and distribution. In 2013, Only The Brave changed its name to its acronym, OTB Group. It was established in 2002 and is headquartered in Breganze, Italy.",www.otb.net,1769.66,0.0,,2002.0,,+390424477555,Western Europe,italy,Veneto,Vicenza,Breganze,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Textiles,Clothing & clothing accessories,Retail Trade,Retail,25,Yes,6.5,Yes,New,Opened,,,,,True,False,False,textiles_clothing_and_clothing_accessories_retail,False,False,2017
606,2017-03-01,#275408,The Dai-Ichi Life Insurance Company,The Dai-Ichi Life Insurance Company,"The Dai-ichi Life Insurance Company provides life insurance products to individual and corporate customers in Japan and internationally. The company offers individual life insurance products and annuities, sells non-life insurance products and savings-type products through financial institutions, such as banks and securities companies. It also provides group life insurance products, group term life and medical care insurance products, which help employees prepare insurance by themselves and group annuities. Further, it provides various investment products, such as domestic bonds and stocks and foreign securities. The company was founded in 1902 and is headquartered in Tokyo, Japan.",www.dai-ichi-life.co.jp,57475.67,60647.0,,1902.0,,+81332161211,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",240,Yes,43.5,Yes,New,Opened,,,,,True,False,False,financial_services_insurance_sales_marketing_and_support,False,False,2017
610,2017-03-01,#275041,AJU Group,AJU Group,"AJU Group operates as an industrial conglomerate. The company was founded in 1960 and is based in Seoul, South Korea.",www.aju.co.kr,1982.42,,,1960.0,,+82234759700,Asia-Pacific,south_korea,Seoul,Not Specified,Gangnam-gu,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Building materials,Cement & concrete products,Industrial,Manufacturing,166,Yes,44.4,Yes,New,Opened,,,,http://pulsenews.co.kr/view.php?sc=30800018&year=2018&no=82701,False,True,False,building_materials_cement_and_concrete_products_manufacturing,False,False,2017
611,2017-03-01,#302311,KB Financial Group,KB Financial Group,"South Korea-based KB Financial Group is a financial holding company that provides various banking and related services. Its remit includes commercial banking, asset management and life insurance. The company engages in computer system development, system maintenance and information technology outsourcing services. The company was founded in 2008 and is headquartered in Seoul, South Korea.",m.kbfg.com,21263.81,,,2008.0,,+82220737114,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,myanmar,Myanmar,Not Specified,Not Specified,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://www.businesskorea.co.kr/news/articleView.html?idxno=21473,False,True,False,financial_services_retail_banking_business_services,False,False,2017
624,2017-02-01,#273239,Ceconomy (Metro),Ceconomy (Metro),"Ceconomy is a German consumer electronics retailer. The company name was created in July 2017 when Metro demerged into two companies, creating a new Metro focused on wholesale and food and Ceconomy which is focused on consumer electronics. As part of the demerger, Metro AG was renamed to Ceconomy AG on 11 August 2017. Subsequently, Metro Wholesale & Food Specialist was renamed to Metro on 18 August 2017. The company was established in 1964 and is headquartered in Dusseldorf, Germany.",www.ceconomy.de,24630.54,53000.0,,1964.0,info@ceconomy.de,+4921154087000,Western Europe,germany,North-Rhine Westphalia,Dusseldorf,Dusseldorf,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Food & Beverages,Wholesale Trade (Food & Tobacco),Agribusiness,"Logistics, Distribution & Transportation",255,Yes,47.8,Yes,New,Announced,"""I'm pleased that Metro is now entering Myanmar, such a promising market that offers abundant opportunities for our B2B wholesale business,"" said Olaf Koch, chairman. It aims to effectively address the evolving needs of the local professional customers, who now increasingly seek products of consistently reliable quality and good value.",,"Ceconomy (Metro), Yoma Strategic",,True,False,False,food_and_beverages_wholesale_trade_food_and_tobacco_logistics_distribution_and_transportation,False,False,2017
628,2017-02-01,#271450,Diebold Nixdorf,Diebold Nixdorf,"Diebold Nixdorf develops commerce solutions. The company was founded in 1859 and is based in Canton, Ohio, US.",DieboldNixdorf.com,3902.0,22000.0,,1859.0,,+13304904000,North America,united_states,Ohio,Stark County (OH),Canton (OH),Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business machines & equipment,Other (Business machines & equipment),Financial Services,"Sales, Marketing & Support",10,Yes,3.5,Yes,New,Opened,"With a population of nearly 54 million people, Myanmar has huge growth potential in the banking sector as it expands its services outside of Yangon to more rural areas where it is estimated that more than 95 percent of the population is unbanked.",,,,True,False,False,business_machines_and_equipment_other_business_machines_and_equipment_sales_marketing_and_support,False,False,2017
636,2017-02-01,#272529,Yanmar,Yanmar,"Yanmar provides diesel engines, and agricultural and industrial machinery. It offers industrial diesel engines, including water-cooled vertical engines, air-cooled vertical engines, diesel generators, welder generators, and air-cooled diesel pumps. The company also provides construction machines, such as excavators and carriers, as well as leisure marine products. In addition, it offers commercial marine products, which include propulsion engines, auxiliary engines, and marine compressors. Yanmar was formerly known as Yanmar Diesel Engine and changed its name to Yanmar in 2002. The company was established in 1912 and is headquartered in Osaka, Japan.",www.yanmar.com/global/,7538.38,20727.0,,1912.0,,+81663766211,Asia-Pacific,japan,Kansai,Osaka,Osaka,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Industrial equipment,"Agriculture, construction, & mining machinery",Agribusiness,"Sales, Marketing & Support",15,Yes,3.6,Yes,New,Opened,"""Myanmar is the most important market in the region as the country has huge potential for agricultural machinery."" - Takeshi Terada, managing director.",,,,True,False,False,industrial_equipment_agriculture_construction_and_mining_machinery_sales_marketing_and_support,False,False,2017
649,2017-01-01,#270577,Grupo Industrial Ortiz,Grupo Industrial Ortiz,"Grupo Industrial Ortiz processes plastic resins and produces polypropylene raffia woven sacks and similar products. It was founded in 1954 and is headquartered in Morelia, Mexico.",www.grupo-ortiz.com,,,,1954.0,info.go@grupo-ortiz.com,+524432041786,Latin America & Caribbean,mexico,Michoacan,Not Specified,Morelia,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Plastics,Plastics packaging materials & unlaminated film & sheets,Agribusiness,Manufacturing,81,Yes,34.4,Yes,New,Announced,,,,,False,True,False,plastics_plastics_packaging_materials_and_unlaminated_film_and_sheets_manufacturing,False,False,2017
651,2017-01-01,#271408,Posco Daewoo (Daewoo),POSCO (Pohang Iron & Steel),"POSCO engages in the manufacture and sale of steel products in Korea and internationally. It offers hot rolled steel, atmospheric corrosion resistant steel, cold rolled steel and titanium products. In addition, the company is involved in various other activities, including engineering and construction, steel work maintenance and machinery installation, computer hardware and software distribution, economic research and consulting, rental houses construction and management, energy and resource development, architecture, consulting, transporting, warehousing, and electricity generation. POSCO was established in 1968 and is headquartered in Seoul, South Korea. The frim previously operated as Pohang Iron and Steel.",www.posco.co.kr,62693.73,0.0,,1968.0,,+82027592114,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Twante,,,Food & Beverages,Grains & oilseed,Agribusiness,Manufacturing,264,Yes,31.8,Yes,New,Announced,,"Europe, Middle East, Africa, China and Russia",,,False,True,False,food_and_beverages_grains_and_oilseed_manufacturing,True,False,2017
664,2017-01-01,#296658,SolarHome,SolarHome,"SolarHome Pte. Ltd. leases solar energy units for rural off-grid households in Southeast Asia. It installs integrated solar energy and appliance units in customers' homes, and offers 'rent-to-own' plans of energy service subscription. The company uses the microfinance structure, Pay-As-You-Go (PAYG), which enables users to pay a monthly fees comparable to their current expenditure on legacy energy sources. The company was founded in 2016 and is based in Singapore. The company also has operations in the Philippines, Cambodia, Myanmar, and Indonesia.",solar-home.asia/en,,,,2016.0,hq@solar-home.asia,+6568372871,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Renewable energy,Solar electric power,Environmental Technology,"Sales, Marketing & Support",20,No,13.9,Yes,New,Opened,,,,https://consult-myanmar.com/2018/01/06/solarhome-to-invest-5m-more-in-myanmar/,False,True,False,renewable_energy_solar_electric_power_sales_marketing_and_support,False,False,2017
665,2017-01-01,#297119,Terumo,Terumo,"Japan-based Terumo manufactures and sells medical products and equipment in Japan and internationally. It offers general hospital products to administer infusion, including nutrient solutions for total parenteral nutrition, plastic prefilled syringes, intravenous (IV) catheters, infusion pumps, needle-free systems, and IV hyper-alimentation catheters; nutritious food comprising calorie-dense liquid meals; home therapies, such as home oxygen therapy, home parenteral nutrition, and continuous ambulatory peritoneal dialysis systems, as well as pharmaceutical solutions. The company's general hospital products also include diabetes treatment products, such as blood glucose monitoring systems, needles for pen-injectors, and data transferring systems; consumer healthcare products comprising digital and basal body thermometers, blood pressure and activity monitors, urine test strips, and support wear; and cancer pain management chemotherapy products, such as administration systems and disposable injection pumps. Terumo Corporation was founded in 1921 and is based in Tokyo, Japan.",www.terumo.co.jp,5687.12,0.0,,1921.0,,+81333748111,Asia-Pacific,japan,Kanto,Tokyo,Shibuya-ku,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Medical devices,Medical equipment & supplies,Life sciences,"Sales, Marketing & Support",3,No,0.2,Yes,New,Opened,"In Myanmar, economic growth has been strong and healthcare market has been expanding since the country's transition from military rule to a civilian government in 2011. Growth is projected to continue in the future, but maintenance of healthcare systems and facilities has been falling behind.",,,http://www.terumo.com/about/pressrelease/2017/20170131.html,True,False,False,medical_devices_medical_equipment_and_supplies_sales_marketing_and_support,False,False,2017
